name,code,year,corop_code,corop,region_code,region,province_code,province
Dordrecht,GM0505,2026,CR30,Zuidoost-Zuid-Holland,AM23,Drechtsteden,PV28,Zuid-Holland
Drechterland,GM0498,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Drimmelen,GM1719,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Dronten,GM0303,2026,CR40,Flevoland,AM11,Flevoland,PV24,Flevoland
Druten,GM0225,2026,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Duiven,GM0226,2026,CR15,Arnhem/Nijmegen,AM07,Midden-Gelderland,PV25,Gelderland
Echt-Susteren,GM1711,2026,CR38,Midden-Limburg,AM33,Midden-Limburg,PV31,Limburg
Edam-Volendam,GM0385,2026,CR23,Groot-Amsterdam,AM17,Zaanstreek/Waterland,PV27,Noord-Holland
Ede,GM0228,2026,CR13,Veluwe,AM38,FoodValley,PV25,Gelderland
Eemnes,GM0317,2026,CR17,Utrecht,AM12,Gooi en Vechtstreek,PV26,Utrecht
Eemsdelta,GM1979,2026,CR02,Delfzijl en omgeving,AM01,Groningen,PV20,Groningen
Eemsmond,GM1651,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Eersel,GM0770,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Eijsden,GM0905,2010,CR39,Zuid-Limburg,,,PV31,Limburg
Eijsden-Margraten,GM1903,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Eindhoven,GM0772,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Elburg,GM0230,2026,CR13,Veluwe,AM36,Regio Zwolle,PV25,Gelderland
Emmen,GM0114,2026,CR08,Zuidoost-Drenthe,AM03,Drenthe,PV22,Drenthe
Enkhuizen,GM0388,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Enschede,GM0153,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Epe,GM0232,2026,CR13,Veluwe,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Ermelo,GM0233,2026,CR13,Veluwe,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Etten-Leur,GM0777,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Ferwerderadiel,GM1722,2018,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Franekeradeel,GM0070,2017,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Gaasterlân-Sleat,GM0653,2013,CR05,Zuidwest-Friesland,,,PV21,Fryslân
Geertruidenberg,GM0779,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Geldermalsen,GM0236,2018,CR16,Zuidwest-Gelderland,AM10,Rivierenland,PV25,Gelderland
Geldrop-Mierlo,GM1771,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Gemert-Bakel,GM1652,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Gennep,GM0907,2026,CR37,Noord-Limburg,AM29,Noord-Limburg,PV31,Limburg
Giessenlanden,GM0689,2018,CR30,Zuidoost-Zuid-Holland,AM35,Gorinchem,PV28,Zuid-Holland
Gilze en Rijen,GM0784,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Goedereede,GM0511,2012,CR29,Groot-Rijnmond,,,PV28,Zuid-Holland
Goeree-Overflakkee,GM1924,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Goes,GM0664,2026,CR32,Overig Zeeland,AM24,Zeeland,PV29,Zeeland
Goirle,GM0785,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Gooise Meren,GM1942,2026,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Gorinchem,GM0512,2026,CR30,Zuidoost-Zuid-Holland,AM35,Gorinchem,PV28,Zuid-Holland
Gouda,GM0513,2026,CR28,Oost-Zuid-Holland,AM20,Midden-Holland,PV28,Zuid-Holland
Graafstroom,GM0693,2012,CR30,Zuidoost-Zuid-Holland,,,PV28,Zuid-Holland
Graft-De Rijp,GM0365,2014,CR23,Groot-Amsterdam,AM15,Noord-Holland Noord,PV27,Noord-Holland
Grave,GM0786,2021,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Groesbeek,GM0241,2015,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Groningen,GM0014,2026,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Grootegast,GM0015,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Gulpen-Wittem,GM1729,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Haaksbergen,GM0158,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Haaren,GM0788,2020,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Haarlem,GM0392,2026,CR21,Agglomeratie Haarlem,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Haarlemmerliede en Spaarnwoude,GM0393,2018,CR21,Agglomeratie Haarlem,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Haarlemmermeer,GM0394,2026,CR23,Groot-Amsterdam,AM18,Groot Amsterdam,PV27,Noord-Holland
Halderberge,GM1655,2026,CR33,West-Noord-Brabant,AM25,West-Brabant,PV30,Noord-Brabant
Hardenberg,GM0160,2026,CR10,Noord-Overijssel,AM36,Regio Zwolle,PV23,Overijssel
Harderwijk,GM0243,2026,CR13,Veluwe,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Hardinxveld-Giessendam,GM0523,2026,CR30,Zuidoost-Zuid-Holland,AM23,Drechtsteden,PV28,Zuid-Holland
Haren,GM0017,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Harenkarspel,GM0395,2012,CR18,Kop van Noord-Holland,,,PV27,Noord-Holland
Harlingen,GM0072,2026,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Hattem,GM0244,2026,CR13,Veluwe,AM36,Regio Zwolle,PV25,Gelderland
Heemskerk,GM0396,2026,CR20,IJmond,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Heemstede,GM0397,2026,CR21,Agglomeratie Haarlem,AM37,Zuid-Kennemerland en IJmond,PV27,Noord-Holland
Heerde,GM0246,2026,CR13,Veluwe,AM06,Veluwe Stedendriehoek,PV25,Gelderland
Heerenveen,GM0074,2026,CR06,Zuidoost-Friesland,AM02,Friesland,PV21,Fryslân
Heerhugowaard,GM0398,2021,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Heerlen,GM0917,2026,CR39,Zuid-Limburg,AM30,Zuid-Limburg,PV31,Limburg
Heeze-Leende,GM1658,2026,CR36,Zuidoost-Noord-Brabant,AM28,Zuidoost-Brabant,PV30,Noord-Brabant
Heiloo,GM0399,2026,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Hellendoorn,GM0163,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Hellevoetsluis,GM0530,2022,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Helmond,GM0794,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Hendrik-Ido-Ambacht,GM0531,2026,CR30,Zuidoost-Zuid-Holland,AM23,Drechtsteden,PV28,Zuid-Holland
Hengelo,GM0164,2023,CR12,Twente,AM05,Twente,PV23,Overijssel
Hengelo (O.),GM0164,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
het Bildt,GM0063,2017,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
Het Hogeland,GM1966,2026,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
Heumen,GM0252,2026,CR15,Arnhem/Nijmegen,AM08,Rijk van Nijmegen,PV25,Gelderland
Heusden,GM0797,2026,CR35,Noordoost-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Hillegom,GM0534,2026,CR25,Agglomeratie Leiden en Bollenstreek,AM19,Holland Rijnland,PV28,Zuid-Holland
Hilvarenbeek,GM0798,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
Hilversum,GM0402,2026,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Hoeksche Waard,GM1963,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Hof van Twente,GM1735,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
