month,geo,programme,seniority,bucket,n
2026-08,p:gelderland,all,all,62500,1
2026-08,p:gelderland,all,all,70000,1
2026-08,p:gelderland,all,senior,62500,1
2026-08,p:gelderland,all,senior,70000,1
2026-08,p:gelderland,all,unknown,35000,1
2026-08,p:gelderland,all,unknown,42500,1
2026-08,p:gelderland,all,unknown,47500,1
2026-08,p:gelderland,business-it-management,all,42500,1
2026-08,p:gelderland,business-it-management,all,47500,1
2026-08,p:gelderland,business-it-management,unknown,42500,1
2026-08,p:gelderland,business-it-management,unknown,47500,1
2026-08,p:gelderland,informatica,all,42500,1
2026-08,p:gelderland,informatica,all,62500,1
2026-08,p:gelderland,informatica,all,70000,1
2026-08,p:gelderland,informatica,senior,62500,1
2026-08,p:gelderland,informatica,senior,70000,1
2026-08,p:gelderland,informatica,unknown,42500,1
2026-08,p:limburg,all,all,55000,1
2026-08,p:limburg,all,all,57500,1
2026-08,p:limburg,all,all,87500,2
2026-08,p:limburg,all,senior,57500,1
2026-08,p:limburg,all,unknown,55000,1
2026-08,p:limburg,all,unknown,87500,2
2026-08,p:limburg,business-it-management,all,57500,1
2026-08,p:limburg,business-it-management,all,87500,1
2026-08,p:limburg,business-it-management,senior,57500,1
2026-08,p:limburg,business-it-management,unknown,87500,1
2026-08,p:limburg,technische-informatica,all,87500,1
2026-08,p:limburg,technische-informatica,unknown,87500,1
2026-08,p:noord-brabant,all,all,35000,3
2026-08,p:noord-brabant,all,all,40000,1
2026-08,p:noord-brabant,all,all,45000,1
2026-08,p:noord-brabant,all,all,47500,1
2026-08,p:noord-brabant,all,all,52500,1
2026-08,p:noord-brabant,all,all,55000,1
2026-08,p:noord-brabant,all,all,62500,1
2026-08,p:noord-brabant,all,all,65000,2
2026-08,p:noord-brabant,all,all,75000,1
2026-08,p:noord-brabant,all,all,77500,1
2026-08,p:noord-brabant,all,medior,45000,1
2026-08,p:noord-brabant,all,senior,55000,1
2026-08,p:noord-brabant,all,senior,62500,1
2026-08,p:noord-brabant,all,senior,65000,2
2026-08,p:noord-brabant,all,senior,75000,1
2026-08,p:noord-brabant,all,senior,77500,1
2026-08,p:noord-brabant,all,unknown,35000,3
2026-08,p:noord-brabant,all,unknown,40000,1
2026-08,p:noord-brabant,all,unknown,47500,1
2026-08,p:noord-brabant,all,unknown,52500,1
2026-08,p:noord-brabant,business-it-management,all,52500,1
2026-08,p:noord-brabant,business-it-management,all,75000,1
2026-08,p:noord-brabant,business-it-management,senior,75000,1
2026-08,p:noord-brabant,business-it-management,unknown,52500,1
2026-08,p:noord-brabant,informatica,all,40000,1
2026-08,p:noord-brabant,informatica,all,45000,1
2026-08,p:noord-brabant,informatica,all,47500,1
2026-08,p:noord-brabant,informatica,all,55000,1
2026-08,p:noord-brabant,informatica,all,62500,1
2026-08,p:noord-brabant,informatica,all,65000,2
2026-08,p:noord-brabant,informatica,medior,45000,1
2026-08,p:noord-brabant,informatica,senior,55000,1
2026-08,p:noord-brabant,informatica,senior,62500,1
2026-08,p:noord-brabant,informatica,senior,65000,2
2026-08,p:noord-brabant,informatica,unknown,40000,1
2026-08,p:noord-brabant,informatica,unknown,47500,1
2026-08,p:noord-holland,all,all,32500,2
2026-08,p:noord-holland,all,all,35000,3
2026-08,p:noord-holland,all,all,45000,2
2026-08,p:noord-holland,all,all,50000,1
2026-08,p:noord-holland,all,all,55000,1
2026-08,p:noord-holland,all,all,60000,1
2026-08,p:noord-holland,all,all,62500,3
2026-08,p:noord-holland,all,all,65000,1
2026-08,p:noord-holland,all,all,67500,1
2026-08,p:noord-holland,all,all,70000,1
2026-08,p:noord-holland,all,all,77500,1
2026-08,p:noord-holland,all,all,82500,2
2026-08,p:noord-holland,all,all,85000,1
2026-08,p:noord-holland,all,junior,32500,1
2026-08,p:noord-holland,all,medior,45000,2
2026-08,p:noord-holland,all,medior,50000,1
2026-08,p:noord-holland,all,senior,65000,1
2026-08,p:noord-holland,all,senior,70000,1
2026-08,p:noord-holland,all,senior,77500,1
2026-08,p:noord-holland,all,senior,82500,2
2026-08,p:noord-holland,all,senior,85000,1
2026-08,p:noord-holland,all,unknown,32500,1
2026-08,p:noord-holland,all,unknown,35000,3
2026-08,p:noord-holland,all,unknown,55000,1
2026-08,p:noord-holland,all,unknown,60000,1
2026-08,p:noord-holland,all,unknown,62500,3
2026-08,p:noord-holland,all,unknown,67500,1
2026-08,p:noord-holland,business-it-management,all,45000,1
2026-08,p:noord-holland,business-it-management,medior,45000,1
2026-08,p:noord-holland,informatica,all,45000,2
2026-08,p:noord-holland,informatica,all,50000,1
2026-08,p:noord-holland,informatica,all,62500,3
2026-08,p:noord-holland,informatica,all,65000,1
2026-08,p:noord-holland,informatica,all,67500,1
2026-08,p:noord-holland,informatica,all,70000,1
2026-08,p:noord-holland,informatica,all,82500,2
2026-08,p:noord-holland,informatica,all,85000,1
2026-08,p:noord-holland,informatica,medior,45000,2
2026-08,p:noord-holland,informatica,medior,50000,1
2026-08,p:noord-holland,informatica,senior,65000,1
2026-08,p:noord-holland,informatica,senior,70000,1
2026-08,p:noord-holland,informatica,senior,82500,2
2026-08,p:noord-holland,informatica,senior,85000,1
2026-08,p:noord-holland,informatica,unknown,62500,3
2026-08,p:noord-holland,informatica,unknown,67500,1
2026-08,p:overijssel,all,all,19200,1
2026-08,p:overijssel,all,all,32500,1
2026-08,p:overijssel,all,all,35000,1
2026-08,p:overijssel,all,all,47500,1
2026-08,p:overijssel,all,all,50000,1
2026-08,p:overijssel,all,all,55000,1
2026-08,p:overijssel,all,all,70000,1
2026-08,p:overijssel,all,all,75000,1
2026-08,p:overijssel,all,medior,70000,1
2026-08,p:overijssel,all,senior,50000,1
2026-08,p:overijssel,all,senior,55000,1
2026-08,p:overijssel,all,unknown,19200,1
2026-08,p:overijssel,all,unknown,32500,1
2026-08,p:overijssel,all,unknown,35000,1
2026-08,p:overijssel,all,unknown,47500,1
2026-08,p:overijssel,all,unknown,75000,1
2026-08,p:overijssel,business-it-management,all,70000,1
2026-08,p:overijssel,business-it-management,medior,70000,1
2026-08,p:overijssel,informatica,all,47500,1
2026-08,p:overijssel,informatica,all,75000,1
2026-08,p:overijssel,informatica,unknown,47500,1
2026-08,p:overijssel,informatica,unknown,75000,1
2026-08,p:utrecht,all,all,35000,3
2026-08,p:utrecht,all,all,37500,1
2026-08,p:utrecht,all,all,40000,3
2026-08,p:utrecht,all,all,45000,1
2026-08,p:utrecht,all,all,50000,3
2026-08,p:utrecht,all,all,52500,3
2026-08,p:utrecht,all,all,55000,1
2026-08,p:utrecht,all,all,75000,1
2026-08,p:utrecht,all,all,77500,1
2026-08,p:utrecht,all,junior,37500,1
2026-08,p:utrecht,all,senior,50000,3
2026-08,p:utrecht,all,senior,75000,1
2026-08,p:utrecht,all,senior,77500,1
2026-08,p:utrecht,all,unknown,35000,3
2026-08,p:utrecht,all,unknown,40000,3
2026-08,p:utrecht,all,unknown,45000,1
2026-08,p:utrecht,all,unknown,52500,3
2026-08,p:utrecht,all,unknown,55000,1
2026-08,p:utrecht,business-it-management,all,37500,1
2026-08,p:utrecht,business-it-management,junior,37500,1
2026-08,p:utrecht,informatica,all,50000,2
2026-08,p:utrecht,informatica,all,52500,2
2026-08,p:utrecht,informatica,all,77500,1
2026-08,p:utrecht,informatica,senior,50000,2
2026-08,p:utrecht,informatica,senior,77500,1
2026-08,p:utrecht,informatica,unknown,52500,2
2026-08,p:utrecht,technische-informatica,all,55000,1
2026-08,p:utrecht,technische-informatica,unknown,55000,1
2026-08,p:zuid-holland,all,all,35000,3
2026-08,p:zuid-holland,all,all,37500,2
2026-08,p:zuid-holland,all,all,42500,2
2026-08,p:zuid-holland,all,all,45000,1
2026-08,p:zuid-holland,all,all,50000,3
2026-08,p:zuid-holland,all,all,52500,3
2026-08,p:zuid-holland,all,all,55000,1
2026-08,p:zuid-holland,all,all,57500,1
2026-08,p:zuid-holland,all,all,60000,1
2026-08,p:zuid-holland,all,all,62500,1
2026-08,p:zuid-holland,all,all,65000,1
2026-08,p:zuid-holland,all,all,70000,1
2026-08,p:zuid-holland,all,all,72500,1
2026-08,p:zuid-holland,all,all,77500,1
2026-08,p:zuid-holland,all,all,80000,1
2026-08,p:zuid-holland,all,all,95000,1
2026-08,p:zuid-holland,all,junior,37500,1
2026-08,p:zuid-holland,all,junior,65000,1
2026-08,p:zuid-holland,all,senior,52500,1
2026-08,p:zuid-holland,all,senior,57500,1
2026-08,p:zuid-holland,all,senior,77500,1
2026-08,p:zuid-holland,all,senior,95000,1
2026-08,p:zuid-holland,all,unknown,35000,3
2026-08,p:zuid-holland,all,unknown,37500,1
2026-08,p:zuid-holland,all,unknown,42500,2
2026-08,p:zuid-holland,all,unknown,45000,1
2026-08,p:zuid-holland,all,unknown,50000,3
2026-08,p:zuid-holland,all,unknown,52500,2
2026-08,p:zuid-holland,all,unknown,55000,1
2026-08,p:zuid-holland,all,unknown,60000,1
2026-08,p:zuid-holland,all,unknown,62500,1
2026-08,p:zuid-holland,all,unknown,70000,1
2026-08,p:zuid-holland,all,unknown,72500,1
2026-08,p:zuid-holland,all,unknown,80000,1
2026-08,p:zuid-holland,business-it-management,all,37500,2
2026-08,p:zuid-holland,business-it-management,all,42500,2
2026-08,p:zuid-holland,business-it-management,all,50000,1
2026-08,p:zuid-holland,business-it-management,all,52500,1
2026-08,p:zuid-holland,business-it-management,all,55000,1
2026-08,p:zuid-holland,business-it-management,all,62500,1
2026-08,p:zuid-holland,business-it-management,junior,37500,1
2026-08,p:zuid-holland,business-it-management,unknown,37500,1
2026-08,p:zuid-holland,business-it-management,unknown,42500,2
