series,source,period,start,region,breakdown,value,label,n,published,retrieved,url,sample,note
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,ict-managers,20000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,ict-occupations,307000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,system-network-specialists,61000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,system-analysts-advisers,89000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,software-developers,106000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q3,2015-07-01,NL,user-support,36000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,ict-managers,18000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,ict-occupations,317000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,system-network-specialists,61000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,system-analysts-advisers,99000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,software-developers,104000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q4,2015-10-01,NL,user-support,37000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,ict-managers,16000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2016Q1,2016-01-01,NL,ict-occupations,331000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
